facility_name,state,zip_code,smr_date,mortality_rate,facility_name_lower
CHILDRENS HOSPITAL DIALYSIS,AL,35233,01Jan2021-31Dec2024,6.5,childrens hospital dialysis
FMC CAPITOL CITY,AL,36104,01Jan2021-31Dec2024,22.5,fmc capitol city
DaVita Gadsden Dialysis,AL,35901,01Jan2021-31Dec2024,26.6,davita gadsden dialysis
DaVita Tuscaloosa University Dialysis,AL,35401,01Jan2021-31Dec2024,25.9,davita tuscaloosa university dialysis
DaVita PDI-Montgomery,AL,36106,01Jan2021-31Dec2024,26.8,davita pdi-montgomery
DaVita Dothan Dialysis,AL,36305,01Jan2021-31Dec2024,25.4,davita dothan dialysis
FMC MOBILE,AL,36607,01Jan2021-31Dec2024,23.8,fmc mobile
DaVita Birmingham East Dialysis,AL,35235,01Jan2021-31Dec2024,25.2,davita birmingham east dialysis
FMC SELMA,AL,36701,01Jan2021-31Dec2024,25.7,fmc selma
BMA LANGDALE,AL,36854,01Jan2021-31Dec2024,17.6,bma langdale
FMC OPELIKA,AL,36801,01Jan2021-31Dec2024,17.0,fmc opelika
FRESENIUS KIDNEY CARE SOUTH AVENUE,AL,35222,01Jan2021-31Dec2024,19.4,fresenius kidney care south avenue
DaVita Athens Dialysis,AL,35613,01Jan2021-31Dec2024,30.1,davita athens dialysis
FMC SCOTTSBORO,AL,35768,01Jan2021-31Dec2024,26.1,fmc scottsboro
FKC TROY,AL,36081,01Jan2021-31Dec2024,25.5,fkc troy
DCI DOTHAN,AL,36303,01Jan2021-31Dec2024,24.1,dci dothan
FMC HUNTSVILLE,AL,35801,01Jan2021-31Dec2024,21.2,fmc huntsville
DaVita Phenix City Dialysis Center,AL,36867,01Jan2021-31Dec2024,28.0,davita phenix city dialysis center
FMC EAST MOBILE,AL,36604,01Jan2021-31Dec2024,27.6,fmc east mobile
FMC WEST MOBILE,AL,36695,01Jan2021-31Dec2024,28.1,fmc west mobile
RCG PRINCETON,AL,35211,01Jan2021-31Dec2024,16.9,rcg princeton
DCI ENTERPRISE,AL,36330,01Jan2021-31Dec2024,13.6,dci enterprise
FMC CAHABA VALLEY,AL,35124,01Jan2021-31Dec2024,27.5,fmc cahaba valley
DaVita Florence Dialysis,AL,35630,01Jan2021-31Dec2024,23.7,davita florence dialysis
FKC E 11 Street - Anniston,AL,36207,01Jan2021-31Dec2024,18.5,fkc e 11 street - anniston
FMC JACKSON (TOMBIGBEE),AL,36545,01Jan2021-31Dec2024,22.4,fmc jackson (tombigbee)
DCI EUFAULA,AL,36027,01Jan2021-31Dec2024,27.6,dci eufaula
DaVita Walker County Dialysis,AL,35504,01Jan2021-31Dec2024,26.8,davita walker county dialysis
BESSEMER KIDNEY CENTER,AL,35022,01Jan2021-31Dec2024,21.5,bessemer kidney center
DaVita PDI-Prattville,AL,36066,01Jan2021-31Dec2024,20.7,davita pdi-prattville
FMC MONTCLAIR,AL,35210,01Jan2021-31Dec2024,20.0,fmc montclair
FMC PRICHARD,AL,36612,01Jan2021-31Dec2024,18.2,fmc prichard
RCG ANDALUSIA,AL,36420,01Jan2021-31Dec2024,17.0,rcg andalusia
FMC MONROEVILLE (WHETSTONE),AL,36460,01Jan2021-31Dec2024,28.0,fmc monroeville (whetstone)
FMC DADEVILLE,AL,36853,01Jan2021-31Dec2024,16.0,fmc dadeville
DaVita Rainbow City Dialysis,AL,35906,01Jan2021-31Dec2024,21.2,davita rainbow city dialysis
DaVita Demopolis Dialysis,AL,36732,01Jan2021-31Dec2024,30.3,davita demopolis dialysis
DaVita Ozark Dialysis,AL,36360,01Jan2021-31Dec2024,30.2,davita ozark dialysis
DaVita Tuscaloosa Dialysis,AL,35401,01Jan2021-31Dec2024,23.8,davita tuscaloosa dialysis
FMC TUSKEGEE,AL,36083,01Jan2021-31Dec2024,22.1,fmc tuskegee
FMC EASTERN SHORE,AL,36532,01Jan2021-31Dec2024,23.0,fmc eastern shore
DaVita Fayette Dialysis,AL,35555,01Jan2021-31Dec2024,30.0,davita fayette dialysis
DaVita Greene County Dialysis,AL,35462,01Jan2021-31Dec2024,19.6,davita greene county dialysis
DaVita Sheffield Dialysis,AL,35660,01Jan2021-31Dec2024,28.3,davita sheffield dialysis
FMC Azalea City,AL,36604,01Jan2021-31Dec2024,17.0,fmc azalea city
DaVita PDI-Elmore County,AL,36092,01Jan2021-31Dec2024,28.2,davita pdi-elmore county
FMC Pell City,AL,35125,01Jan2021-31Dec2024,30.2,fmc pell city
DCI DECATUR,AL,35601,01Jan2021-31Dec2024,31.1,dci decatur
FMC UNIVERSITY SOUTH ALABAMA,AL,36688,01Jan2021-31Dec2024,25.7,fmc university south alabama
FKC Arab,AL,35016,01Jan2021-31Dec2024,27.6,fkc arab
DCI PELL CITY,AL,35125,01Jan2021-31Dec2024,23.9,dci pell city
DCI CULLMAN,AL,35055,01Jan2021-31Dec2024,16.9,dci cullman
FMC SYLACAUGA,AL,35150,01Jan2021-31Dec2024,28.7,fmc sylacauga
FMC PARKWAY,AL,35801,01Jan2021-31Dec2024,20.7,fmc parkway
DaVita Northport Dialysis,AL,35476,01Jan2021-31Dec2024,26.0,davita northport dialysis
FMC CAMELLIA,AL,36037,01Jan2021-31Dec2024,24.6,fmc camellia
DCI BIRMINGHAM,AL,35206,01Jan2021-31Dec2024,27.1,dci birmingham
RCG WALKER,AL,35504,01Jan2021-31Dec2024,20.1,rcg walker
DCI MONTGOMERY,AL,36104,01Jan2021-31Dec2024,26.1,dci montgomery
FMC DAUPHIN ISLAND PKWY,AL,36605,01Jan2021-31Dec2024,22.7,fmc dauphin island pkwy
FMC THOMASVILLE,AL,36784,01Jan2021-31Dec2024,23.2,fmc thomasville
